SPPE-A,SPPE-B,GKPE-A,GKPE-B
 sp|P02768|ALBU_HUMAN, sp|P02768|ALBU_HUMAN, sp|P02768|ALBU_HUMAN, sp|P02768|ALBU_HUMAN
 sp|P01023|A2MG_HUMAN, sp|P01023|A2MG_HUMAN, sp|P01871-2|IGHM_HUMAN, sp|P02675|FIBB_HUMAN
 sp|P01024|CO3_HUMAN, sp|P01024|CO3_HUMAN, sp|P01024|CO3_HUMAN, sp|P02787|TRFE_HUMAN
 sp|P02787|TRFE_HUMAN, sp|P02787|TRFE_HUMAN, sp|P00738|HPT_HUMAN, sp|P01024|CO3_HUMAN
 tr|D6REL8|D6REL8_HUMAN, sp|P02671-2|FIBA_HUMAN, sp|P02787|TRFE_HUMAN, sp|P02647|APOA1_HUMAN
 sp|P01834|IGKC_HUMAN, sp|P01834|IGKC_HUMAN, sp|P01023|A2MG_HUMAN, sp|P00738|HPT_HUMAN
 sp|P01871-2|IGHM_HUMAN, sp|P02675|FIBB_HUMAN, sp|P01834|IGKC_HUMAN, sp|P01023|A2MG_HUMAN
 sp|P02647|APOA1_HUMAN, tr|C9JC84|C9JC84_HUMAN, sp|P02675|FIBB_HUMAN, sp|P01871-2|IGHM_HUMAN
 sp|P04220|MUCB_HUMAN, sp|P02647|APOA1_HUMAN, sp|P01766|HV305_HUMAN, sp|P00450|CERU_HUMAN
 sp|P01876|IGHA1_HUMAN, sp|P01871-2|IGHM_HUMAN, sp|P0CG05|LAC2_HUMAN, sp|P01593|KV101_HUMAN
 tr|D6RD17|D6RD17_HUMAN, sp|P04114|APOB_HUMAN, sp|P01876|IGHA1_HUMAN, tr|D6RD17|D6RD17_HUMAN
 sp|P02671-2|FIBA_HUMAN, sp|P01861|IGHG4_HUMAN, sp|P0C0L4|CO4A_HUMAN, sp|P01834|IGKC_HUMAN
 tr|C9JC84|C9JC84_HUMAN, sp|P01596|KV104_HUMAN, tr|C9JC84|C9JC84_HUMAN, sp|P01766|HV305_HUMAN
 sp|P01597|KV105_HUMAN, sp|P02652|APOA2_HUMAN, tr|E9PFZ2|E9PFZ2_HUMAN, tr|Q0VAC5|Q0VAC5_HUMAN
 tr|Q0VAC5|Q0VAC5_HUMAN, sp|P01009|A1AT_HUMAN, tr|D6RD17|D6RD17_HUMAN, sp|P01009-2|A1AT_HUMAN
 sp|P02652|APOA2_HUMAN, sp|P01860|IGHG3_HUMAN, sp|P02671-2|FIBA_HUMAN, sp|P0C0L4|CO4A_HUMAN
 tr|E9PFZ2|E9PFZ2_HUMAN, sp|P01859|IGHG2_HUMAN, sp|P01857|IGHG1_HUMAN, sp|P04003|C4BPA_HUMAN
 sp|P01606|KV114_HUMAN, sp|P01019|ANGT_HUMAN, sp|P01764|HV303_HUMAN, sp|P02671-2|FIBA_HUMAN
 sp|P04003|C4BPA_HUMAN, sp|P0CF74|LAC6_HUMAN, sp|P02042|HBD_HUMAN, sp|P0CG05|LAC2_HUMAN
 sp|P01860|IGHG3_HUMAN, sp|P01597|KV105_HUMAN, sp|P00739|HPTR_HUMAN, tr|C9JPQ9|C9JPQ9_HUMAN
 tr|H0YA82|H0YA82_HUMAN, sp|P01876|IGHA1_HUMAN, sp|P01009|A1AT_HUMAN, sp|Q96GC6-2|ZN274_HUMAN
 sp|P01861|IGHG4_HUMAN, tr|E7ETN3|E7ETN3_HUMAN, sp|P01877|IGHA2_HUMAN, sp|P01857|IGHG1_HUMAN
 tr|C9JPV4|C9JPV4_HUMAN, sp|P01625|KV402_HUMAN, tr|B4E1Z4|B4E1Z4_HUMAN, sp|P01876|IGHA1_HUMAN
 tr|G3V3A0|G3V3A0_HUMAN, tr|C9JV77|C9JV77_HUMAN, tr|H0Y3H2|H0Y3H2_HUMAN, tr|H0Y3H2|H0Y3H2_HUMAN
 sp|P01009|A1AT_HUMAN, tr|E9PFZ2|E9PFZ2_HUMAN, sp|P68871|HBB_HUMAN, sp|P02042|HBD_HUMAN
 tr|D6RAK8|D6RAK8_HUMAN, tr|Q0VAC5|Q0VAC5_HUMAN, sp|P02652|APOA2_HUMAN, sp|P02763|A1AG1_HUMAN
 sp|A0M8Q6|LAC7_HUMAN, sp|P01620|KV302_HUMAN, tr|F8W696|F8W696_HUMAN, sp|P02652|APOA2_HUMAN
 tr|B4E1Z4|B4E1Z4_HUMAN, sp|P04220|MUCB_HUMAN, sp|P01859|IGHG2_HUMAN, sp|P68871|HBB_HUMAN
 sp|P02763|A1AG1_HUMAN, sp|P04217|A1BG_HUMAN, sp|P01860|IGHG3_HUMAN, sp|P04114|APOB_HUMAN
 sp|P0CG05|LAC2_HUMAN, tr|H0Y3H2|H0Y3H2_HUMAN,,
 tr|D6W5A2|D6W5A2_HUMAN, tr|F5H7E1|F5H7E1_HUMAN,,
 sp|P01857|IGHG1_HUMAN, tr|F5GZP6|F5GZP6_HUMAN,,
 tr|F6YA60|F6YA60_HUMAN, tr|D6RAK8|D6RAK8_HUMAN,,
 sp|P01859|IGHG2_HUMAN, tr|C9JPV4|C9JPV4_HUMAN,,
 sp|P02790|HEMO_HUMAN, sp|P01857|IGHG1_HUMAN,,
 tr|H0YGN7|H0YGN7_HUMAN, sp|P02790|HEMO_HUMAN,,
 sp|O75155-2|CAND2_HUMAN, sp|P01008|ANT3_HUMAN,,
 tr|Q5JVN7|Q5JVN7_HUMAN, sp|Q96GC6-2|ZN274_HUMAN,,
 tr|D6RC57|D6RC57_HUMAN,,,
 tr|H7C3S1|H7C3S1_HUMAN,,,
