UNIPROT,SYMBOL
P02768,ALB
P01023,A2M
P01871,IGHM
P01857,IGHG1
P01859,IGHG2
O43866,CD5L
J3QR68,HP
P01834,IGKC
P02787,TF
P01024,C3
P04220,IGHM
P0CF74,IGLC6
P04114,APOB
P02652,APOA2
P00739,HPR
P01876,IGHA1
P02647,APOA1
P01860,IGHG3
P02790,HPX
P01596,IGKV1-5
P01765,IGHV3-23
D6RD17,JCHAIN
P04004,VTN
H3BS21,HP
P01593,IGKV1D-33
P01620,IGKV3-20
E9PFZ2,CP
P01009,SERPINA1
P04003,C4BPA
P00734,F2
P01613,IGKV1D-33
P02747,C1QC
P01019,AGT
P04196,HRG
P04217,A1BG
P19652,ORM2
Q5T985,ITIH2
P02763,ORM1
D6RAK8,GC
Q96PF1,TGM7
C9JSB2,CAMKV
Q0VAC5,HP
F8W696,APOA1
E9PIT3,F2
P01764,IGHV3-23
P0C0L4,C4A
H7C5D0,DENND6A
P01031,C5
Q8IWB1,ITPRIP
P00738,HP
P01877,IGHA2
A2BHY4,C4B
P00450,CP
P01861,IGHG4
P0DJI8,SAA1
A6PVY5,C4BPA
O75533,SF3B1
G3V3A0,SERPINA3
C9JPV4,SERPINF2
Q99856,ARID3A
B4DK71,SACM1L
P0CG05,IGLC2
P0CG05,IGLC3
P01766,IGHV3-13
P68871,HBB
P80748,IGLV3-21
O76081,RGS20
H3BMJ7,HP
G3V1N2,HBA2
P01717,IGLV3-25
B4DH42,HECW1
B0YIW2,APOC3
P01611,IGKV1D-12
Q8NHU6,TDRD7
I3L487,CLUAP1
Q9BYJ4,TRIM34
Q6IFG1,OR52E8
O75460,ERN1
H0YA82,LARP7
Q5KU28,LTB4R2
P46199,MTIF2
P0CG04,IGLC1
P0DJI9,SAA2
P02750,LRG1
B7ZKJ8,ITIH4
H0YC35,CLU
H0Y7L5,APOE
P08603,CFH
P06702,S100A9
H0YA10,INPP4B
H0Y5D1,C1S
P01597,IGKV1-39
H0YAS8,CLU
Q8NG80,OR2L5
O14907,TAX1BP3
P50461,CSRP3
D6RHJ6,JCHAIN
C9JK18,JUP
Q9NWS8,RMND1
P01763,IGHV3-48
P04206,IGKV3-20
H0Y720,TNRC6B
F8WB23,NFS1
E9PC15,AGK
A0M8Q6,IGLC7
P01701,IGLV1-51
P04208,IGLV1-47
F8W6P5,HBB
P01768,IGHV3-30
H0Y3H2,ABCA3
E9PEW8,HBD
P08519,LPA
O75157,TSC22D2
F8WCZ6,C1S
F5H2T0,ELP1
H0Y7Z1,FN1
O75808,CAPN15
P02042,HBD
G3V2V2,PLEKHG3
B4DSM2,ZNF337
E9PFT6,HBD
E9PIF2,DDX10
Q0VAA2,LRRC74A
J3QLI0,APOH
O14490,DLGAP1
Q9P267,MBD5
I3L4X2,ABCC1
P20742,PZP
P47972,NPTX2
Q99929,ASCL2
P55201,BRPF1
F5GZG4,DTNB
A4FU69,EFCAB5
E5RFJ5,TERF1
A7MBM2,DISP2
E9PRA1,TATDN3
Q96MC2,DRC1
Q02846,GUCY2D
O43272,PRODH
O95837,GNA14
Q0ZGT2,NEXN
H7C2G2,ART4
P01781,IGHV3-7
G3V387,SERPINA1
P01767,IGHV3-53
J3KRH2,HP
Q96GC6,ZNF274
J3QLC9,HP
C9JV77,AHSG
B7WNR0,ALB
H0YKL8,SLC12A6
Q149N8,SHPRH
Q68DY1,ZNF626
P00747,PLG
H7BZG2,GALNT13
P01625,IGKV4-1
Q15361,TTF1
F5GZP6,PPFIBP1
H0YLC0,TNFAIP2
P69905,HBA1
B4E161,NAP1L2
Q7Z6I6,ARHGAP30
P01606,IGKV1-39
A8K855,EFCAB7
P02549,SPTA1
Q9NY74,ETAA1
Q5JUK2,SOHLH1
D6REL8,FGB
P02671,FGA
C9JC84,FGG
O75155,CAND2
Q5JVN7,CD2
D6RC57,KCNK16
H7C3S1,ANLN
P02675,FGB
P01008,SERPINC1
C9JPQ9,FGG
H7C5N5,CP
B4E2G9,C2orf49
J3QRL3,DCC
P04264,KRT1
P35908,KRT2
P04259,KRT6B
P13645,KRT10
P02538,KRT6A
Q7RTS7,KRT74
P35527,KRT9
P02760,AMBP
P25311,AZGP1
H0Y5A1,PTGDS
O60487,MPZL2
Q8N3X6,LCORL
H7C4W7,STAB1
Q16853,AOC3
H0YA55,ALB
J3KRR7,CYLD
P08571,CD14
C9JF17,APOD
Q5VY30,RBP4
C9JMK5,PIK3IP1
D6RGV7,IGSF22
Q7Z451,AP2B1
P52272,HNRNPM
Q8NGX3,OR10T2
Q8IV36,HID1
P51809,VAMP7
H7C5E6,SLC26A8
D6R9C5,SPP1
Q7L0Y3,TRMT10C
C9JEV0,AZGP1
P07998,RNASE1
C9JV37,F2
P0DJD7,PGA4
C9J979,INTS11
Q92570,NR4A3
P59665,DEFA1
H7BZJ8,AZGP1
P53634,CTSC
Q86Y46,KRT73
Q9HAT2,SIAE
H0Y4T9,ANKRD26
P10451,SPP1
O00187,MASP2
D6RCM9,RANBP3L
